id;nombre;descripcion;url;estado
1;Videojuegos;cross-platform bus Galicia;http://rebeca.es;radical Canadian Pizza
2;real-time;Hormigon;http://felipe.info;Turquia India
3;Pantalones;Omán;https://josé emilio.org;metrics Murcia
4;dot-com;Exclusivo Australian Refinado;http://irene.info;Acero
5;scalable Joyería;Joyería Juguetería back-end;http://raquel.info;Mascotas
6;Videojuegos Mascotas;Acero GB Parcela;http://adán.com;digital withdrawal
7;Gold Public-key;Berkshire Representante Investment;http://adriana.es;Partida array
8;cross-platform Videojuegos New;generating overriding infraestructura;http://adán.es;incentivize scalable Plástico
9;indexing Buckinghamshire;intuitive card synergies;http://bernardo.org;invoice Amarillo Toallas
10;Futuro;Supervisor Mercados;http://roberto.info;firewall
