id;descripcion;monto_envio;monto_impuesto;monto_total;fecha_donacion;fecha_entrega;fecha_posible_entrega;fecha_inicial_envio;dias_retraso;estado
1;regional Cuesta;63993;49172;6080;2022-07-10T09:49:22;2022-07-10T06:09:27;2022-07-10T05:06:43;2022-07-10T17:31:06;47964;Solar recontextualize
2;mobile Funcionario Iran;79805;79417;21130;2022-07-10T07:21:33;2022-07-10T03:22:31;2022-07-10T11:23:56;2022-07-10T17:46:02;73923;Guapa
3;Camino back-end Nueva;32850;66575;57004;2022-07-10T12:34:22;2022-07-10T06:06:12;2022-07-10T00:11:49;2022-07-10T07:34:08;85416;SSL compress
4;program;34607;30824;6634;2022-07-10T07:09:34;2022-07-09T22:55:50;2022-07-10T11:20:38;2022-07-10T14:53:21;46528;firewall
5;solución deposit;39444;21367;56377;2022-07-10T10:28:28;2022-07-10T03:09:27;2022-07-10T17:28:38;2022-07-10T15:29:29;17802;XML Funcionalidad Ensalada
6;networks Borders escalable;48419;82028;89183;2022-07-10T00:55:11;2022-07-10T19:07:39;2022-07-09T23:36:08;2022-07-10T07:26:28;78494;Gorro synthesize optimizada
7;back-end middleware;69736;4339;91999;2022-07-10T12:24:40;2022-07-10T15:04:39;2022-07-10T19:16:39;2022-07-10T08:35:27;67042;Infraestructura Horizontal GB
8;IB;95235;94159;56848;2022-07-10T03:14:41;2022-07-10T00:41:30;2022-07-10T07:46:17;2022-07-10T15:42:15;78833;services next-generation withdrawal
9;Deportes;96510;91927;92069;2022-07-09T23:53:44;2022-07-09T22:10:07;2022-07-09T23:02:17;2022-07-10T08:44:52;58306;Intranet strategic
10;Director;26405;40955;28782;2022-07-10T18:21:19;2022-07-10T12:50:44;2022-07-10T16:36:33;2022-07-10T01:07:40;66169;Identidad leverage
