id;fecha;monto;tipo;descripcion;estado
1;2022-07-10T03:57:43;83586;Loan Rústico;reboot Fundamental;Pelota auxiliary Innovador
2;2022-07-09T23:19:16;48671;Obligatorio withdrawal;efficient Algodón;Acero Blanco Respuesta
3;2022-07-10T12:59:08;20344;synthesizing Hong;services conglomeración Aragón;Hormigon Calleja
4;2022-07-10T11:43:46;99250;e-commerce conglomeración Islands;CSS bluetooth;Galicia next-generation Regional
5;2022-07-10T15:28:49;2900;Entrada secundaria;bluetooth;compress HTTP
6;2022-07-09T21:24:50;22044;Pelota defectos Partida;Práctico;Usabilidad Mauritania
7;2022-07-09T21:43:08;96288;Zelanda action-items blockchains;Informática Moda;web-readiness Krone Informática
8;2022-07-10T14:26:06;64166;Bedfordshire Colonia;hack Proactivo previsión;Algodón Sabroso parse
9;2022-07-10T00:33:13;40391;firewall;orchestrate Borders neural;fidelidad parse
10;2022-07-10T08:02:03;77677;parsing Principado;Account Madrid Patatas;Sopa system
