id;tipo;descripcion;fecha;tipo_remitente;tipo_receptor;estado
1;Horizontal Administrador;Pollo;2022-07-10T07:01:21;Configurable Silla;withdrawal Ergonómico;Agente transmitting Inteligente
2;Rupee;BEAC;2022-07-10T07:14:25;protocol;Extendido España conjunto;Proactivo digital
3;Atún Programa;Bulgaria quantifying;2022-07-10T17:55:48;Decoración Extremadura;Monte;Artesanal
4;Baleares Guyana;synthesizing;2022-07-09T23:48:08;withdrawal generating HDD;envisioneer;transmitting
5;benchmark núcleo TCP;Gris Extrarradio Caserio;2022-07-10T03:50:55;Cuban Nacional Mejorado;Joyería;Quinta
6;Pollo Jardines;parsing Gris;2022-07-10T06:04:33;Castilla-La Cuba partnerships;Rojo;Navarra
7;Inteligente plug-and-play Queso;asíncrona compressing;2022-07-10T07:30:32;Parafarmacia;Taka deposit;Fundamental Salud Monitorizado
8;Fantástico Violeta;Increible innovate;2022-07-10T10:15:18;invoice Colegio;microchip navigating Bosnia;Amarillo Gourde Arquitecto
9;rich Pequeño optical;dinámica;2022-07-10T15:51:11;León;Bebes;Seychelles deploy Extremadura
10;Regional;bypassing Guantes;2022-07-09T21:06:48;program;Teclado Madera;Account Nacional
