id;nombre;monto;descripcion;beneficios;porcentaje_empresarial;estado
1;Automatizado program;78937;ROI cross-media;system mobile;9421;Georgia
2;optical monitor programming;85628;envisioneer;haptic Joyería;61015;Account Jefe
3;Humano;45421;motivadora portal;Atún;53002;al Riera Interno
4;Violeta Sopa;68068;Fácil soluciones backing;web-readiness SSL;75990;e-tailers Rioja Increible
5;Inteligente Horizontal withdrawal;49523;virtual Pescado orchestrate;Zapatos;98445;program
6;Informática Cliente Poblado;40752;Ladrillo;facilitate back-end transition;39666;Colonia override
7;Madera;13627;bidireccional Ensalada;Programa XSS;21713;Navarra port Moda
8;Alemania optical Bajada;77391;Increible;Mancha TCP Guapa;44084;Lado Granito
9;Coche payment GB;16149;Contabilidad solid;Papelería Patatas acompasada;84593;transition Pelota Paraguay
10;Credit;71105;Metal Bebes;Borders Papelería killer;75980;Omán Gris
