id;descripcion;latitud;longitud;fecha;estado
1;benchmark Planificador wireless;Gris calculating;alarm Hungria;2022-07-10T01:51:45;Morado Morado
2;Azul overriding;withdrawal Bangladesh Optimización;EXE Papelería;2022-07-10T11:03:58;Funcionalidad Cine Opcional
3;up transmit synthesizing;streamline Ferrocarril;e-tailers;2022-07-10T10:56:23;withdrawal Borders lateral
4;calculate programming;deposit;payment 1080p;2022-07-10T07:10:02;XSS funcionalidad
5;Andalucía nueva Andalucía;Principado Marketing;facilitate Optimización;2022-07-10T08:00:54;deposit Ergonómico
6;Amigable;Gorro;Rojo Adelante quantify;2022-07-10T08:07:11;unleash
7;Loan Investigación 1080p;collaborative;Queso;2022-07-10T06:09:14;synergistic Yemen
8;heurística;Futuro;Atún Guantes Asociado;2022-07-09T20:54:34;Extramuros bleeding-edge
9;Account;de Genérico;Persistente;2022-07-10T05:11:11;Ladrillo Pequeño Refinado
10;abierta;Ordenador synthesize;extend Comunidad quantifying;2022-07-10T05:21:24;Loan
