id;url;descripcion;fecha_solicitada;fecha_reunion;hora_reunion;estado
1;http://rubén.com;Nakfa area Supervisor;2022-07-10T09:33:48;2022-07-10T02:41:47;2022-07-10T18:55:45;Personal Desarrollador
2;http://inés.com;feed Para;2022-07-09T23:10:17;2022-07-10T09:33:41;2022-07-10T06:01:08;empresa
3;https://horacio.com;drive;2022-07-10T17:23:21;2022-07-10T14:49:48;2022-07-10T09:22:48;mindshare
4;http://felipe.info;withdrawal wireless;2022-07-10T01:54:32;2022-07-10T18:08:48;2022-07-10T15:51:00;Diseñador
5;http://verónica.es;Entrada;2022-07-10T13:59:57;2022-07-10T03:07:26;2022-07-09T22:53:03;Leone Sincronizado Factores
6;http://josé emilio.com.es;heurística copying;2022-07-10T01:07:32;2022-07-10T01:23:02;2022-07-09T23:40:05;Account Extramuros
7;https://vicente.com.es;copy Normas invoice;2022-07-10T10:32:56;2022-07-10T14:38:26;2022-07-09T21:11:31;harness
8;http://catalina.info;orchestrate;2022-07-10T01:01:04;2022-07-10T13:55:15;2022-07-10T10:02:18;infomediaries
9;http://carmen.com;Extremadura;2022-07-10T15:23:35;2022-07-10T08:07:43;2022-07-10T18:55:18;Ingeniería web-enabled Pantalones
10;https://jorge.org;Pescado Senior;2022-07-10T08:20:59;2022-07-10T16:38:13;2022-07-10T13:17:13;Interno
